,title,thumbnail_url,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17
35,Kureiji Ollie Ch. hololive-ID,https://yt3.ggpht.com/jWxru6sHDDSuKF-gztFg_WSoMp2da_d019iH0xz0MDWc7TIhetK8id_mVKV0PxWKp-QS23AzfQ=s240-c-k-c0x00ffffff-no-rj,123897,114809,110463,118958,131598
5,Tsukumo Sana Ch. hololive-EN,https://yt3.ggpht.com/zczPLp_sj4Qq3CyoGzfXifOdwE7aMHRpUdqbMD9UKvjddBG2NdMrCKElCMUOS6x85BMr2VGuAA=s240-c-k-c0x00ffffff-no-rj,120335,60332,56139,50157,335616
12,Rushia Ch. 潤羽るしあ,https://yt3.ggpht.com/ytc/AKedOLQU6twXdlPnpa4wU0ttm41BeroAaA-4GbenPQWFQw=s240-c-k-c0x00ffffff-no-rj,110073,111069,115240,101943,97569
55,Airani Iofifteen Channel hololive-ID,https://yt3.ggpht.com/bF91weVtAIL7Uhnr2HVwtCTLVKK5kVsn4FC_Ze3Gl8rkSsEjDwyey3AbQ1PDfJQ1Oeac5cePeg=s240-c-k-c0x00ffffff-no-rj,101850,84644,84428,99427,153394
19,Noel Ch. 白銀ノエル,https://yt3.ggpht.com/ytc/AMLnZu-QxO8whWT6gUOSAP0D0xgzeu2aiHC8HA-_Asg40g=s240-c-k-c0x00ffffff-no-rj,94614,219213,203385,129611,120882
54,Anya Melfissa Ch. hololive-ID,https://yt3.ggpht.com/ytc/AKedOLR0AplPQyxSjGhqMxJy7vAvXn-9hyaiXBoBE5vy=s240-c-k-c0x00ffffff-no-rj,90667,74388,72664,84025,94017
13,Roboco Ch. - ロボ子,https://yt3.ggpht.com/ytc/AKedOLT1nccfyEH7yPGHnNqO7C8Ak2jw3scnVdKfSnTe2g=s240-c-k-c0x00ffffff-no-rj,84161,73317,75340,67167,70925
43,HAACHAMA Ch 赤井はあと,https://yt3.ggpht.com/B2tq3IQAFxUe9W3MaMc0V62bmlTWCSoTuCk-Y-Ab8yXkZKdIswQhHABZhz2e4YM1-B_Kxen_7w=s240-c-k-c0x00ffffff-no-rj,82346,70321,70173,66890,66742
49,Ceres Fauna Ch. hololive-EN,https://yt3.ggpht.com/cBtserkb211p6If2OewgWd8oriIKRkfwTcP4_Vdq2YETG5TK9Q02v4cYmnLU03KBAJ0gcDha7oQ=s240-c-k-c0x00ffffff-no-rj,56506,46942,47520,53408,79427
47,Choco Ch. 癒月ちょこ,https://yt3.ggpht.com/ytc/AKedOLQQWlPXEl3Yt1ISaGW7m1dVtuzJ5P0wBjSg5zG41g=s240-c-k-c0x00ffffff-no-rj,52135,43809,41566,36778,36174
46,Coco Ch. 桐生ココ,https://yt3.ggpht.com/ytc/AKedOLRY5eMZEBBAlzBbf6TIWoCHOVjeA2Vi8_hnVLoJPA=s240-c-k-c0x00ffffff-no-rj,48296,43521,48257,40378,38816
17,Ouro Kronii Ch. hololive-EN,https://yt3.ggpht.com/ntCVYU9_M3j3G_lYEKTaBsIRmB2ZA1W6uu3n7bHCwaT2HvzqL1t5ABhGaZ3ucfm1yP3-9hFQuw=s240-c-k-c0x00ffffff-no-rj,47687,40595,43300,45067,47826
31,Luna Ch. 姫森ルーナ,https://yt3.ggpht.com/O7m_5HMY_O8yxR3Jhn9cEO1fLNL_GifMERExnAmfY7JrdTRsTjNijTcNYTPN97Llj3zGn8Susw=s240-c-k-c0x00ffffff-no-rj,47526,38644,39704,35395,35624
2,Watson Amelia Ch. hololive-EN,https://yt3.ggpht.com/y2D4qCTTIxkO-rrYU2tugta4USKGDtmU7-VUbRrrcA_7IJpJwghjetrmTXqmx8T-8NxHqmz_yg=s240-c-k-c0x00ffffff-no-rj,26049,28443,33369,26708,26015
4,Vestia Zeta Ch. hololive-ID,https://yt3.ggpht.com/-IdVo-vK7pr0VRjJDdza1-t1Edjce1Rd1R1hon_3SRIzuQ-XVBTWOJj-UfwYPp8y40KM197_y4o=s240-c-k-c0x00ffffff-no-rj,22101,19451,19002,23212,24714
