,title,thumbnail_url,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07
44,HAACHAMA Ch 赤井はあと,https://yt3.ggpht.com/B2tq3IQAFxUe9W3MaMc0V62bmlTWCSoTuCk-Y-Ab8yXkZKdIswQhHABZhz2e4YM1-B_Kxen_7w=s240-c-k-c0x00ffffff-no-rj,66890,66742,65931,65734,64089
45,Gawr Gura Ch. hololive-EN,https://yt3.ggpht.com/uMUat6yJL2_Sk6Wg2-yn0fSIqUr_D6aKVNVoWbgeZ8N-edT5QJAusk4PI8nmPgT_DxFDTyl8=s240-c-k-c0x00ffffff-no-rj,1037829,945469,852955,835179,812812
46,Flare Ch. 不知火フレア,https://yt3.ggpht.com/d9aIrGtZR0eI4k1Wnev5f_R4llIBsWnQOjkdsqkMycoAxA3g_zz-jyeBl8tEHfbm1iTg0SJj=s240-c-k-c0x00ffffff-no-rj,302654,243853,219533,213728,205846
47,Coco Ch. 桐生ココ,https://yt3.ggpht.com/ytc/AMLnZu8xM8iFAtHMoKUPqKh-0NT7QL6zU06fEgwkIB0D0A=s240-c-k-c0x00ffffff-no-rj,40378,38816,37314,42942,35420
48,Choco Ch. 癒月ちょこ,https://yt3.ggpht.com/ytc/AMLnZu80M1vTMFfWmp9yha9PoNYxYF8l_DCl0bovZk9XEw=s240-c-k-c0x00ffffff-no-rj,36778,36174,35481,32250,31512
49,Chloe ch. 沙花叉クロヱ - holoX -,https://yt3.ggpht.com/_xNtPLKQcQxMTnOr4tAcGz0GEeESsi0bQX9mJEP3fx_50a8GUfUyOG1eyLIld2cCz6GvKABwpQ=s240-c-k-c0x00ffffff-no-rj,385715,455581,420315,497274,362327
50,Ceres Fauna Ch. hololive-EN,https://yt3.ggpht.com/cBtserkb211p6If2OewgWd8oriIKRkfwTcP4_Vdq2YETG5TK9Q02v4cYmnLU03KBAJ0gcDha7oQ=s240-c-k-c0x00ffffff-no-rj,53408,79427,52187,45571,48151
51,Botan Ch.獅白ぼたん,https://yt3.ggpht.com/ytc/AMLnZu-DWVTmOl_sIEgYjNGsAJOZoAycESBNZQTTvSjAxg=s240-c-k-c0x00ffffff-no-rj,168645,163789,159866,157012,160839
52,AZKi Channel,https://yt3.ggpht.com/ytc/AMLnZu9IveqXjidKC-xeGeLUim29sfMquDmK7nIudIWayw=s240-c-k-c0x00ffffff-no-rj,387407,294603,291815,288875,314756
53,Ayunda Risu Ch. hololive-ID,https://yt3.ggpht.com/ytc/AMLnZu_WBKt0fYv-RMkoGFJWgX2-wzZrbRbhEivY8Tv7Ow=s240-c-k-c0x00ffffff-no-rj,140074,146985,153989,136115,161282
54,Aqua Ch. 湊あくあ,https://yt3.ggpht.com/ytc/AMLnZu-V1kC8vBXkZ8owy3xQ4k3C7vnkXHqGP1RFEyvu0g=s240-c-k-c0x00ffffff-no-rj,991154,946456,998573,871050,863430
55,Anya Melfissa Ch. hololive-ID,https://yt3.ggpht.com/ytc/AMLnZu_Kj0ZJ_ImZWqaCfHW2IuflYaQ1TF6mbxoAvKHS=s240-c-k-c0x00ffffff-no-rj,84025,94017,69683,77686,108492
56,Airani Iofifteen Channel hololive-ID,https://yt3.ggpht.com/bF91weVtAIL7Uhnr2HVwtCTLVKK5kVsn4FC_Ze3Gl8rkSsEjDwyey3AbQ1PDfJQ1Oeac5cePeg=s240-c-k-c0x00ffffff-no-rj,99427,153394,108427,98237,127644
