,title,videoId,thumbnail_url,youtube_url,image,publishedAt,singer,owner
38,【ポルカの伝説】コンビニで急に何か買う,7n-SV7oaHSA,https://i.ytimg.com/vi/7n-SV7oaHSA/mqdefault.jpg,https://www.youtube.com/watch?v=7n-SV7oaHSA,,2022-04-07,Polka Ch. 尾丸ポルカ,Polka Ch. 尾丸ポルカ
39,【歌枠】１００万人まで歌う！！Coming soon 1 million！【ホロライブ/紫咲シオン】,jawft-tMNtA,https://i.ytimg.com/vi/jawft-tMNtA/mqdefault_live.jpg,https://www.youtube.com/watch?v=jawft-tMNtA,,2022-04-10,Shion Ch. 紫咲シオン,Shion Ch. 紫咲シオン
40,【The Closing Shift | 閉店事件】今日もカフェの仕事やります！！【#ときのそら生放送】,J8H3e4f6GI4,https://i.ytimg.com/vi/J8H3e4f6GI4/mqdefault_live.jpg,https://www.youtube.com/watch?v=J8H3e4f6GI4,,2022-04-10,SoraCh. ときのそらチャンネル,SoraCh. ときのそらチャンネル
41,【HOLOTORI】みんなでお絵描き伝言ゲームするしゅばああああああああああああああああああああああああ！！！！！:Gartic Phone【ホロライブ/大空スバル】,DUfE90Uqzqs,https://i.ytimg.com/vi/DUfE90Uqzqs/mqdefault_live.jpg,https://www.youtube.com/watch?v=DUfE90Uqzqs,,2022-04-10,Subaru Ch. 大空スバル,Subaru Ch. 大空スバル
42,【#1】FF7リメイクするしゅばあああああああああああああ！！！：FINAL FANTASY VII REMAKE【※ネタバレあり】,jUoMzohASVA,https://i.ytimg.com/vi/jUoMzohASVA/mqdefault_live.jpg,https://www.youtube.com/watch?v=jUoMzohASVA,,2022-04-09,Subaru Ch. 大空スバル,Subaru Ch. 大空スバル
43,新曲「Wicked」聴いてね‼ #Short,3RW54x_6eRc,https://i.ytimg.com/vi/3RW54x_6eRc/mqdefault.jpg,https://www.youtube.com/watch?v=3RW54x_6eRc,,2022-04-07,Suisei Channel,Suisei Channel
44,新曲「TEMPLATE」聴いてね‼ #Short,NPdl2eZvkqo,https://i.ytimg.com/vi/NPdl2eZvkqo/mqdefault.jpg,https://www.youtube.com/watch?v=NPdl2eZvkqo,,2022-04-03,Suisei Channel,Suisei Channel
45,【HOLOTORI】Big Birbs Gathering! Kiara POV✨ #kfp #キアライブ,ldA3-NrjE7Y,https://i.ytimg.com/vi/ldA3-NrjE7Y/mqdefault_live.jpg,https://www.youtube.com/watch?v=ldA3-NrjE7Y,,2022-04-09,Takanashi Kiara Ch. hololive-EN,Takanashi Kiara Ch. hololive-EN
46,【Kirby and the Forgotten Land】This is not goodbye poyo,1qUZ4_WN8Fk,https://i.ytimg.com/vi/1qUZ4_WN8Fk/mqdefault_live.jpg,https://www.youtube.com/watch?v=1qUZ4_WN8Fk,,2022-04-10,Tsukumo Sana Ch. hololive-EN,Tsukumo Sana Ch. hololive-EN
47,【To The Moon】feeling nostalgic yet?【Vestia Zeta / Hololive Indonesia Gen 3】,_gmXlFhiBSs,https://i.ytimg.com/vi/_gmXlFhiBSs/mqdefault_live.jpg,https://www.youtube.com/watch?v=_gmXlFhiBSs,,2022-04-07,Vestia Zeta Ch. hololive-ID,Vestia Zeta Ch. hololive-ID
48,これ、レモンかけちゃってもいいよねぇ？【ギリギリわるくないわため】#Shorts　#ギリわる,WdtstNGFOJM,https://i.ytimg.com/vi/WdtstNGFOJM/mqdefault.jpg,https://www.youtube.com/watch?v=WdtstNGFOJM,,2022-04-07,Watame Ch. 角巻わため,Watame Ch. 角巻わため
49,【OVERWATCH】FULL HoloEN Team~,5X0oIsjq7O0,https://i.ytimg.com/vi/5X0oIsjq7O0/mqdefault.jpg,https://www.youtube.com/watch?v=5X0oIsjq7O0,,2022-04-09,Watson Amelia Ch. hololive-EN,Watson Amelia Ch. hololive-EN
50,【COVER】Ookami Blues ~,NOrfhrL0D9k,https://i.ytimg.com/vi/NOrfhrL0D9k/mqdefault.jpg,https://www.youtube.com/watch?v=NOrfhrL0D9k,,2022-04-03,Watson Amelia Ch. hololive-EN,Watson Amelia Ch. hololive-EN
51,【Cyberpunk2077 | #5】パレードで極秘ミッションを遂行せよ！サイバーパンク2077【ホロライブ/アキロゼAkirose】,09yCuLjtuGQ,https://i.ytimg.com/vi/09yCuLjtuGQ/mqdefault.jpg,https://www.youtube.com/watch?v=09yCuLjtuGQ,,2022-04-09,アキロゼCh。Vtuber/ホロライブ所属,アキロゼCh。Vtuber/ホロライブ所属
